WASHINGTON	NP	WASHINGTON
would	MD	would
change	VV	change
the	DT	the
result	NN	result
.	SENT	.
But	CC	but
manyof	RB	manyof
the	DT	the
campaign	NN	campaign
's	POS	's
supporters	NNS	supporter
,	,	,
picking	VVG	pick
up	RP	up
on	IN	on
its	PP$	its
frequent	JJ	frequent
complaints	NNS	complaint
of	IN	of
Russianinterference	NN	Russianinterference
in	IN	in
the	DT	the
election	NN	election
,	,	,
have	VHP	have
enthusiastically	RB	enthusiastically
backed	VVN	back
Ms.	NP	Ms.
Stein	NP	Stein
's	POS	's
efforts	NNS	effort
,	,	,
putting	VVG	put
pressure	NN	pressure
on	IN	on
the	DT	the
Clinton	NP	Clinton
team	NN	team
to	TO	to
show	VV	show
that	IN/that	that
it	PP	it
is	VBZ	be
exploring	VVG	explore
all	DT	all
options	NNS	option
.	SENT	.
Mr.	NP	Mr.
Elias	NP	Elias
used	VVD	use
his	PP$	his
essay	NN	essay
to	TO	to
describe	VV	describe
an	DT	an
intensive	JJ	intensive
behind-the-scenes	JJ	behind-the-scenes
effort	NN	effort
bythe	NN	bythe
campaign	NN	campaign
to	TO	to
look	VV	look
for	IN	for
signs	NNS	sign
of	IN	of
Russian	JJ	Russian
hacking	JJ	hacking
activity	NN	activity
or	CC	or
otherirregularities	NNS	otherirregularities
in	IN	in
the	DT	the
vote	NN	vote
count	NN	count
.	SENT	.
Ms.	NP	Ms.
Stein	NP	Stein
filed	VVD	file
for	IN	for
a	DT	a
recount	NN	recount
in	IN	in
Wisconsin	NP	Wisconsin
on	IN	on
Friday	NP	Friday
afternoon	NN	afternoon
,	,	,
about	IN	about
an	DT	an
hourbefore	NN	hourbefore
the	DT	the
deadline	NN	deadline
.	SENT	.
She	PP	she
has	VHZ	have
raised	VVN	raise
more	JJR	more
than	IN	than
$5	JJ	$5
million	CD	million
for	IN	for
the	DT	the
effort	NN	effort
,	,	,
whichwill	VVP	whichwill
now	RB	now
turn	VV	turn
to	TO	to
Michigan	NP	Michigan
and	CC	and
Pennsylvania	NP	Pennsylvania
,	,	,
where	WRB	where
there	EX	there
are	VBP	be
deadlines	NNS	deadline
in	IN	in
thecoming	JJ	thecoming
week	NN	week
.	SENT	.
In	IN	in
his	PP$	his
post	NN	post
,	,	,
Mr.	NP	Mr.
Elias	NP	Elias
sounded	VVD	sound
less	RBR	less
enthusiastic	JJ	enthusiastic
than	IN	than
the	DT	the
recount	NN	recount
's	POS	's
manysupporters	NNS	manysupporters
.	SENT	.
'	''	'
'	''	'
Because	IN	because
we	PP	we
had	VHD	have
not	RB	not
uncovered	VVN	uncover
any	DT	any
actionable	JJ	actionable
evidence	NN	evidence
of	IN	of
hacking	VVG	hack
oroutside	NN	oroutside
attempts	NNS	attempt
to	TO	to
alter	VV	alter
the	DT	the
voting	NN	voting
technology	NN	technology
,	,	,
'	''	'
'	''	'
he	PP	he
wrote	VVD	write
,	,	,
'	''	'
'	''	'
we	PP	we
had	VHD	have
notplanned	VVN	notplanned
to	TO	to
exercise	VV	exercise
this	DT	this
option	NN	option
ourselves	PP	ourselves
.	SENT	.
'	''	'
'	''	'
He	PP	he
added	VVD	add
,	,	,
'	''	'
'	''	'
Now	RB	now
that	IN/that	that
a	DT	a
recount	NN	recount
has	VHZ	have
been	VBN	be
initiated	VVN	initiate
in	IN	in
Wisconsin	NP	Wisconsin
,	,	,
we	PP	we
intend	VVP	intend
toparticipate	NNS	toparticipate
in	IN	in
order	NN	order
to	TO	to
ensure	VV	ensure
the	DT	the
process	NN	process
proceeds	NNS	proceed
in	IN	in
a	DT	a
manner	NN	manner
that	WDT	that
is	VBZ	be
fair	JJ	fair
toall	NN	toall
sides	NNS	side
.	SENT	.
'	''	'
'	''	'
If	IN	if
Ms.	NP	Ms.
Stein	NP	Stein
pursues	VVZ	pursue
additional	JJ	additional
recounts	NNS	recount
,	,	,
'	''	'
'	''	'
we	PP	we
will	MD	will
take	VV	take
the	DT	the
same	JJ	same
approach	NN	approach
inthose	NN	inthose
states	NNS	state
as	IN	as
well	RB	well
,	,	,
'	''	'
'	''	'
he	PP	he
wrote	VVD	write
.	SENT	.
But	CC	but
he	PP	he
noted	VVD	note
that	IN/that	that
the	DT	the
'	''	'
'	''	'
number	NN	number
of	IN	of
votesseparating	VVG	votesseparating
Donald	NP	Donald
Trump	NP	Trump
and	CC	and
Hillary	NP	Hillary
Clinton	NP	Clinton
in	IN	in
the	DT	the
closest	JJS	close
of	IN	of
these	DT	these
states	NNS	state
--	:	--
Michigan	NP	Michigan
--	:	--
well	RB	well
exceeds	VVZ	exceed
the	DT	the
largest	JJS	large
margin	NN	margin
ever	RB	ever
overcome	VVN	overcome
in	IN	in
a	DT	a
recount	NN	recount
.	SENT	.
'	''	'
'	''	'
The	DT	the
Clinton	NP	Clinton
campaign	NN	campaign
will	MD	will
not	RB	not
contribute	VV	contribute
financially	RB	financially
to	TO	to
the	DT	the
effort	NN	effort
,	,	,
which	WDT	which
hasbeen	NN	hasbeen
funded	VVN	fund
by	IN	by
small	JJ	small
contributions	NNS	contribution
.	SENT	.
But	CC	but
it	PP	it
will	MD	will
pay	VV	pay
to	TO	to
have	VH	have
its	PP$	its
own	JJ	own
lawyerspresent	NN	lawyerspresent
at	IN	at
the	DT	the
recount	NN	recount
,	,	,
campaign	NN	campaign
officials	NNS	official
said	VVD	say
.	SENT	.
The	DT	the
Obama	NP	Obama
administration	NN	administration
issued	VVD	issue
a	DT	a
statement	NN	statement
to	TO	to
The	DT	the
New	NP	New
York	NP	York
Times	NP	Times
on	IN	on
Friday	NP	Friday
inresponse	NN	inresponse
to	TO	to
questions	NNS	question
about	IN	about
intelligence	NN	intelligence
findings	NNS	finding
related	VVN	relate
to	TO	to
Russianinterference	NN	Russianinterference
in	IN	in
the	DT	the
election	NN	election
.	SENT	.
In	IN	in
the	DT	the
statement	NN	statement
,	,	,
it	PP	it
said	VVD	say
it	PP	it
had	VHD	have
concluded	VVN	conclude
thatthe	JJ	thatthe
election	NN	election
was	VBD	be
free	JJ	free
of	IN	of
interference	NN	interference
.	SENT	.
The	DT	the
administration	NN	administration
issued	VVD	issue
a	DT	a
second	JJ	second
statement	NN	statement
on	IN	on
Saturday	NP	Saturday
saying	VVG	say
that	DT	that
'	''	'
'	''	'
thefederal	JJ	thefederal
government	NN	government
did	VVD	do
not	RB	not
observe	VV	observe
any	DT	any
increased	VVN	increase
level	NN	level
of	IN	of
maliciouscyberactivity	NN	maliciouscyberactivity
